dt,kabupaten,jumlah_kejadian,meninggal,hilang,luka_sakit,menderita,mengungsi,rumah_rusak_berat,rumah_rusak_sedang,rumah_rusak_ringan,rumah_terendam,estimasi_kerugian_rumah,pendidikan_rusak,fasyankes_rusak,rumah_ibadat_rusak,fasum_rusak,jembatan_rusak,kantor_rusak
2020-05-18 23:00:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-18 23:00:00,Kota Adm. Jakarta Timur,0.5,0,0,0,2584,213,0,0,0,750,750,0,0,0,0,0,0
2020-05-10 17:00:00,Kota Adm. Jakarta Selatan,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-10 17:00:00,Kota Adm. Jakarta Timur,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30 18:01:00,Kota Adm. Jakarta Selatan,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30 18:01:00,Kota Adm. Jakarta Timur,0.333333333,0,0,0,1380,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-30 18:01:00,Kota Adm. Jakarta Barat,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-26 19:00:00,Kota Adm. Jakarta Selatan,1,0,0,0,0,10,0,0,0,3,3,0,0,0,0,0,0
2020-04-01 00:15:00,Kota Adm. Jakarta Timur,1,0,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 00:01:00,Kota Adm. Jakarta Selatan,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 00:01:00,Kota Adm. Jakarta Timur,0.2,1,0,0,25658,9890,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 00:01:00,Kota Adm. Jakarta Pusat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 00:01:00,Kota Adm. Jakarta Barat,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-25 00:01:00,Kota Adm. Jakarta Utara,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23 06:00:00,Kota Adm. Jakarta Selatan,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23 06:00:00,Kota Adm. Jakarta Timur,0.2,0,0,0,24090,3512,0,0,0,0,0,0,0,0,0,0,0
2020-02-23 06:00:00,Kota Adm. Jakarta Pusat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23 06:00:00,Kota Adm. Jakarta Barat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-23 06:00:00,Kota Adm. Jakarta Utara,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20 09:00:00,Kota Adm. Jakarta Selatan,0.2,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
2020-02-20 09:00:00,Kota Adm. Jakarta Timur,0.2,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0
2020-02-20 09:00:00,Kota Adm. Jakarta Pusat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20 09:00:00,Kota Adm. Jakarta Barat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-20 09:00:00,Kota Adm. Jakarta Utara,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16 00:01:00,Kota Adm. Jakarta Selatan,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-16 00:01:00,Kota Adm. Jakarta Timur,0.333333333,1,0,0,0,54,0,0,0,783,783,0,0,0,0,0,0
2020-02-16 00:01:00,Kota Adm. Jakarta Barat,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08 09:00:00,Kota Adm. Jakarta Selatan,0.2,0,0,0,0,391,0,0,0,0,0,0,0,0,0,0,0
2020-02-08 09:00:00,Kota Adm. Jakarta Timur,0.2,0,0,0,1925,2331,0,0,0,0,0,0,0,0,0,0,0
2020-02-08 09:00:00,Kota Adm. Jakarta Pusat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08 09:00:00,Kota Adm. Jakarta Barat,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08 09:00:00,Kota Adm. Jakarta Utara,0.2,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0
2020-02-01 07:00:00,Kota Adm. Jakarta Barat,1,0,0,0,1180,71,0,0,0,0,0,0,0,0,0,0,0
2020-01-26 23:59:00,Kota Adm. Jakarta Selatan,1,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,Kota Adm. Jakarta Selatan,0.2,1,0,0,0,8104,0,0,0,0,0,0,0,0,0,0,0
2020-01-01 06:00:00,Kota Adm. Jakarta Timur,0.2,8,0,0,5126,13516,0,0,0,1000,1000,0,0,0,0,0,0
2020-01-01 06:00:00,Kota Adm. Jakarta Pusat,0.2,2,0,0,0,2703,0,0,0,0,0,0,0,0,0,0,0
